dataset,layer,threshold_type,count,mean,std,min,median,max,q25,q75
gsm8k,10,threshold_high,10,0.9270318269729614,0.05395135569531734,0.8598959445953369,0.9242746829986572,1.0302361249923706,0.8914212137460709,0.9478643834590912
gsm8k,10,threshold_low,10,0.06672137603163719,0.005150921573985735,0.0594668947160244,0.06551693007349968,0.07363303750753403,0.06328031234443188,0.07182247564196587
gsm8k,20,threshold_high,10,0.6046725928783416,0.0398223540374765,0.5471481084823608,0.6168950498104095,0.6522676348686218,0.5669381618499756,0.6325288563966751
gsm8k,20,threshold_low,10,0.02898954674601555,0.0025826380921612152,0.0254100002348423,0.028897111304104328,0.03297441452741623,0.027531277388334274,0.030149905011057854
hotpotqa,10,threshold_high,10,0.6961045086383819,0.04824768447064944,0.608100175857544,0.7054394781589508,0.7670071125030518,0.6643326878547668,0.729603111743927
hotpotqa,10,threshold_low,10,0.047880759462714195,0.0027889804617454122,0.04247942194342613,0.04857689142227173,0.05129879713058472,0.04663044586777687,0.04983095731586218
hotpotqa,20,threshold_high,10,0.3584828495979309,0.041219366236749995,0.29715001583099365,0.35568252205848694,0.45272600650787354,0.3335854113101959,0.3729945346713066
hotpotqa,20,threshold_low,10,0.018925317190587522,0.00159485022749361,0.01637338474392891,0.018839561380445957,0.021553225815296173,0.018356166314333677,0.02010622387751937
multifieldqa_en,10,threshold_high,10,0.7229027152061462,0.05251508187880172,0.645914614200592,0.7406454086303711,0.791965663433075,0.6752685904502869,0.7543118298053741
multifieldqa_en,10,threshold_low,10,0.04609216824173927,0.0064783770337562205,0.03265455365180969,0.047963015735149384,0.05308907851576805,0.04386327229440212,0.04995203856378794
multifieldqa_en,20,threshold_high,10,0.4033341944217682,0.0708284230506469,0.30051735043525696,0.4126967042684555,0.5297204852104187,0.35138025879859924,0.44574448466300964
multifieldqa_en,20,threshold_low,10,0.019060221035033464,0.003334385078730965,0.014159169979393482,0.018184876069426537,0.024263007566332817,0.01691798074170947,0.02209131419658661
musique,10,threshold_high,10,0.7020766496658325,0.029981816842584035,0.6389163136482239,0.7014717161655426,0.7447938919067383,0.6945828050374985,0.7215251326560974
musique,10,threshold_low,10,0.04668989665806293,0.00458258207982551,0.04102025553584099,0.04693475365638733,0.055373210459947586,0.04269066732376814,0.049411309882998466
musique,20,threshold_high,10,0.3513652503490448,0.04249020250395956,0.28689825534820557,0.35702642798423767,0.40888962149620056,0.32170066237449646,0.37721120566129684
musique,20,threshold_low,10,0.017877332307398318,0.0024456102980642096,0.014660102315247059,0.017436934635043144,0.02341454289853573,0.016857391223311424,0.018400073517113924
narrativeqa,10,threshold_high,10,0.6648369789123535,0.02853257480789469,0.6195164322853088,0.6711999177932739,0.6978456377983093,0.6442297995090485,0.6891099363565445
narrativeqa,10,threshold_low,10,0.04371902085840702,0.006360730395646183,0.035732269287109375,0.043803490698337555,0.055580925196409225,0.039046511054039,0.045388962142169476
narrativeqa,20,threshold_high,10,0.37711693048477174,0.0516085313592136,0.2903854250907898,0.38637545704841614,0.4630378186702728,0.3609394133090973,0.40419910848140717
narrativeqa,20,threshold_low,10,0.01777607323601842,0.0033183900165204053,0.012655417434871197,0.01731682475656271,0.022540418431162834,0.015337289543822408,0.020773547235876322
qasper,10,threshold_high,10,0.7449733912944794,0.030175981384808162,0.6957836151123047,0.755842000246048,0.7853322625160217,0.726295992732048,0.7641563415527344
qasper,10,threshold_low,10,0.05218603610992432,0.003979398756349433,0.04615158960223198,0.052227312698960304,0.05811068043112755,0.050698610953986645,0.05420549213886261
qasper,20,threshold_high,10,0.46777061820030214,0.032784235673653774,0.43239307403564453,0.4612204432487488,0.521803617477417,0.4375774785876274,0.49287451803684235
qasper,20,threshold_low,10,0.0242698373273015,0.0016049588270885917,0.02181362546980381,0.02454250305891037,0.026356272399425507,0.02301418734714389,0.02555435849353671
wikitext2,10,threshold_high,10,0.7400836765766143,0.07023676973569516,0.6089004278182983,0.7535179555416107,0.8442835211753845,0.7022193223237991,0.7821166813373566
wikitext2,10,threshold_low,10,0.04143659472465515,0.007305845314248228,0.02538512647151947,0.04242759570479393,0.05178290605545044,0.03876999393105507,0.045073642395436764
wikitext2,20,threshold_high,10,0.4487691342830658,0.06548653823644608,0.36395975947380066,0.4280655086040497,0.5585913062095642,0.4016111195087433,0.492484487593174
wikitext2,20,threshold_low,10,0.01951736696064472,0.002860983881041884,0.016522550955414772,0.018976785242557526,0.02530113235116005,0.01730382675305009,0.020723198540508747
